"tcut","t","age","fsh","e2","tse","agese","fshse","e2se","tsd","agesd","fshsd","e2sd"
"[-10.5,-9.5]",-9.90657084188912,44.625,2.35231976691527,4.30380122893505,0.101663943388702,0.843832667907904,0.16376667125577,0.321526633492961,0.287549055089265,2.38671920665766,0.463202095109213,0.909414651499819
"(-9.5,-8.5]",-8.84379840772362,45.3157894736842,2.60372548652596,3.93244437717529,0.0503818496608837,0.465491198646372,0.167252485752746,0.152403380466761,0.219609391260451,2.02902909400715,0.729036683452198,0.664310934108591
"(-8.5,-7.5]",-7.8538886036961,45.5625,2.49220411140305,4.12024690087863,0.0430918648077223,0.378178731852819,0.133584801912724,0.113772502620394,0.243764398556115,2.13930196634926,0.743768699505373,0.633458485559815
"(-7.5,-6.5]",-6.85205624001825,46.0833333333333,2.75558119722829,3.87710387204797,0.0317171289626557,0.307750551406903,0.0982544222152713,0.108813863786874,0.219742715334136,2.13215836437638,0.659110701489936,0.729945588965559
"(-6.5,-5.5]",-5.91462777990464,46.8474576271186,2.73942055645768,4.02917463177179,0.0332427594494979,0.28069959287278,0.0879289536611609,0.107231865299604,0.25534248039293,2.1560944842232,0.652098573113806,0.795252797203369
"(-5.5,-4.5]",-4.90208432955473,47.5205479452055,2.83364896603191,4.05799486370455,0.0247387559804448,0.30226792992576,0.0971434364503238,0.123377167595931,0.211368023751417,2.58257832537507,0.771052123049292,0.979275908767114
"(-4.5,-3.5]",-3.95884042002638,47.9390243902439,2.9528512987456,3.96089088146876,0.0242206955629278,0.303719569549468,0.0894026058964726,0.103116973988896,0.219327726635887,2.75029767625974,0.747995866215583,0.862738501936635
"(-3.5,-2.5]",-2.92512316103464,48.6172839506173,2.98010693238558,4.05886811318619,0.0235216135344064,0.310101487387282,0.0938280001706432,0.120026291017644,0.211694521809658,2.79091338648554,0.738802412146426,0.945087960561364
"(-2.5,-1.5]",-1.9038680917531,49.4871794871795,3.20251648831348,3.91312258493014,0.0231297282072952,0.309007622673497,0.117643695992724,0.123467630839256,0.204276228429989,2.72908142932479,0.926327388574561,0.972185097413883
"(-1.5,-0.5]",-0.921448899456033,50.3157894736842,3.43649520554512,3.89417878341457,0.0234472461072936,0.354029697592547,0.109445096686008,0.12657657961167,0.204408352572041,3.08635934963635,0.902507387684694,1.04377721493663
"(-0.5,0.5]",0.0464274527546723,50.4237288135593,3.86841588429594,3.5533271371659,0.0219965651812962,0.414666385752595,0.138347908886364,0.133769703779082,0.168958823110028,3.18511294570759,0.968435362204551,0.936387926453571
"(0.5,1.5]",1.11356947296372,52.4375,4.41471971717154,3.1333766767197,0.0166158128989193,0.331301494683841,0.0848618438839881,0.0991949842133418,0.148616348573606,2.96325065264141,0.668202826945683,0.774737593303819
"(1.5,2.5]",2.05157499235441,53.1276595744681,4.54746124809018,2.92697087891782,0.0217103356094747,0.331118485607014,0.058431182295723,0.0715623194144566,0.210489513263597,3.21031282619064,0.495805022808637,0.598733320601393
"(2.5,3.5]",3.05251301778737,54.1392405063291,4.49329325590507,2.94166570593737,0.0221084114396667,0.349216295677751,0.096530489114379,0.0743789392603748,0.196503859133762,3.10390232967862,0.741464756000589,0.566453125261847
"(3.5,4.5]",4.01907939767283,54.359375,4.50073079154993,3.02501299383867,0.0271910029820223,0.362125002739561,0.080454516172234,0.0919361584821597,0.217528023856179,2.89700002191649,0.52140485732811,0.602865707407248
"(4.5,5.5]",5.03026114884431,55.2307692307692,4.46898762525357,2.8864163295047,0.0271365758044671,0.399486269474661,0.080613187651013,0.0819398860527581,0.195684631007043,2.88073645686943,0.528616022269539,0.518233342282759
"(5.5,6.5]",6.01431667807438,55.6666666666667,4.43237027672039,2.90781980395335,0.0363930099917853,0.44898474538374,0.0788697145831479,0.113565691464717,0.218358059950712,2.69390847230244,0.394348572915739,0.567828457323583
"(6.5,7.5]",7.05481653423801,56.1739130434783,4.53432633258276,2.87369827275289,0.0397279299481446,0.591949194997907,0.0926714432210829,0.106948275782453,0.190528458801271,2.83888860957055,0.370685772884332,0.427793103129813
"(7.5,8.5]",8.07289527720739,57.6111111111111,4.52541872625928,3.01964899533439,0.0522337280898092,0.667347147262995,0.091699585022007,0.0951016926255824,0.22160894003375,2.83131415941097,0.355150965644364,0.368327271735018
"(8.5,9.5]",8.95448323066393,57.1428571428571,4.58160330031294,2.77799466189461,0.0525094552720633,0.790445297070525,0.0907698801855934,0.148992597387727,0.196472391194192,2.95757548462465,0.314436088556774,0.516125497254394
