year,mean,std_dev
-25,-0.3633914374763837,0.12638660047223835
-24,-0.34897622350239166,0.11307841531777783
-23,-0.3345610095283997,0.09978122082408217
-22,-0.3201457955544077,0.08650008574575165
-21,-0.30573058158041566,0.0732437466642325
-20,-0.29131536760642374,0.060028633195500065
-19,-0.2769001536324317,0.04688961471092786
-18,-0.2624849396584397,0.03391524610956514
-17,-0.24806972568444777,0.021407023523115694
-16,-0.23365451171045573,0.011076379375943489
-15,-0.21923929773646378,0.01198000377938868
-14,-0.2048240837624718,0.022820245124499677
-13,-0.15078099597856087,0.016111837457910134
-12,-0.06523279642507634,0.01371759254104058
-11,0.02031540312840813,0.011365858965660605
-10,0.1058636026818926,0.00908969311835902
-9,0.19141180223537713,0.006963595191995256
-8,0.2769600017888616,0.0051759212767772764
-7,0.36250820134234607,0.00418545459683798
-6,0.4480564008958305,0.00454700619686941
-5,0.533604600449315,0.006021782674584471
-4,0.6191528000027995,0.008017345811355702
-3,0.7047009995562842,0.010233433792778454
-2,0.7902491991097684,0.01255379889025141
-1,0.875797398663253,0.014929900603016587
0,0.9613455982167375,0.017338839739394707
